Transaction_ID,Store_Region,Product_Category,Payment_Method,Customer_Type,Unit_Price,Items_Sold,Gross_Amount,Discount_Percent,Discount_Amount,Net_Sales_Amount,Average_Price_Per_Item,Effective_Discount_Per_Item
TXN1000,East,Grocery,Cash,New,321.44,9,2892.96,9.13,264.13,2628.83,292.09,29.35
TXN1001,West,Furniture,Wallet,Member,873.53,4,3494.12,17.01,594.35,2899.77,724.94,148.59
TXN1002,North,Apparel,Wallet,Guest,188.47,3,565.41,9.92,56.09,509.32,169.77,18.7
TXN1003,South,Furniture,Wallet,Guest,326.1,11,3587.1,10.01,359.07,3228.03,293.46,32.64
TXN1004,North,Electronics,Credit Card,New,356.04,17,6052.68,4.36,263.9,5788.78,340.52,15.52
TXN1005,West,Electronics,Wallet,Guest,77.09,17,1310.53,0.74,9.7,1300.83,76.52,0.57
TXN1006,North,Electronics,Wallet,Guest,643.29,15,9649.35,15.36,1482.14,8167.21,544.48,98.81
TXN1007,South,Electronics,Wallet,New,565.3,12,6783.6,9.09,616.63,6166.97,513.91,51.39
TXN1008,North,Apparel,Credit Card,New,852.03,4,3408.12,6.24,212.67,3195.45,798.86,53.17
TXN1009,North,Apparel,Credit Card,Returning,862.11,12,10345.32,3.63,375.54,9969.78,830.82,31.29
TXN1010,North,Furniture,UPI,Guest,265.93,10,2659.3,3.24,86.16,2573.14,257.31,8.62
TXN1011,West,Furniture,Cash,Guest,842.98,19,16016.62,20.23,3240.16,12776.46,672.45,170.53
TXN1012,South,Apparel,UPI,New,693.42,4,2773.68,3.55,98.47,2675.21,668.8,24.62
TXN1013,North,Furniture,Wallet,New,255.1,18,4591.8,10.9,500.51,4091.29,227.29,27.81
TXN1014,North,Furniture,UPI,Guest,984.03,3,2952.09,24.56,725.03,2227.06,742.35,241.68
TXN1015,East,Grocery,Wallet,Member,910.64,6,5463.84,21.8,1191.12,4272.72,712.12,198.52
TXN1016,South,Apparel,UPI,Member,498.14,17,8468.38,19.42,1644.56,6823.82,401.4,96.74
TXN1017,South,Furniture,Cash,Returning,152.86,16,2445.76,7.95,194.44,2251.32,140.71,12.15
TXN1018,South,Furniture,Credit Card,Guest,258.4,13,3359.2,23.96,804.86,2554.34,196.49,61.91
TXN1019,North,Grocery,UPI,Returning,953.69,17,16212.73,20.67,3351.17,12861.56,756.56,197.13
TXN1020,North,Furniture,Cash,Member,240.37,2,480.74,5.3,25.48,455.26,227.63,12.74
TXN1021,North,Furniture,Cash,New,713.08,14,9983.12,14.57,1454.54,8528.58,609.18,103.9
TXN1022,North,Furniture,UPI,New,843.31,5,4216.55,12.44,524.54,3692.01,738.4,104.91
